Id Label Name Desc Units Prereq Antireq
CPSC604 CPSC604 "Foundations of Access Control" "Application of formal methods and mathematical logic to the modelling of access control systems and the design of policy languages. Topics include safety and resiliency analysis, proof of policy compliance, expressiveness of policy languages, policy analysis, as well as a survey of modern paradigms of access control." "3 units" "" ""+
PHIL279 PHIL279 "Logic I" "Sentential and first-order logic from both deductive and semantic points of view. Some elementary metatheorems." "3 units" "" ""+
CPSC491 CPSC491 "Techniques for Numerical Computation" "Elementary techniques for the numerical solution of mathematical problems on a computer, including methods for solving linear and non-linear equations, numerical integration, and interpolation." "3 units" "" ""+
CPSC265 CPSC265 "" "" "3 units" "" ""+
CPSC235 CPSC235 "Advanced Introduction to Computer Science" "An accelerated introduction to problem solving, the analysis and design of small-scale computational systems and implementation using both procedural and object oriented programming languages. Issues of design, modularization, and programming style will be emphasized." "3 units" "" ""+
CPSC697 CPSC697 "Biometric Security" "Principles of biometric system design, technology and performance evaluation. Verification, identification and synthesis in biometrics. Traditional and emerging techniques for fingerprint matching, face recognition, iris modelling, signature authentication, and biometric pattern recognition. Multi-modal biometrics and biometric security." "3 units" "" ""+
CPSC771 CPSC771 "Current Trends in Database Technology" "Advanced topics chosen from Bioinformatics, Data mining, Mobile Databases, Spatial Databases and Web Databases. There is a large project component." "3 units" "" ""+
CPSC627 CPSC627 "" "" "3 units" "" ""+
STAT205 STAT205 "Introduction to Statistical Inquiry " "The systematic progression of statistical principles needed to conduct a statistical investigation culminating in parameter estimation, hypothesis testing, statistical modelling, and design of experiments. " "3 units" "" ""+
CPSC304 CPSC304 "A Survey of Computer Science for Non-Majors" "An accessible exploration of different computing topics.  Emphasizing a familiarity with a broad array of subjects within computer science rather than depth.  Topics may include computing hardware, data representation, data compression, computer graphics, sorting algorithms, artificial intelligence techniques, databases, networks and security and privacy." "3 units" "" ""+
CPSC681 CPSC681 "Research Methods in Human-Computer Interaction" "Application of the theory and methodology of human-machine studies to real systems; theory and practice." "3 units" "" ""+
CPSC601 CPSC601 "Special Topics in Computer Science" "A study of problems of particular interest to graduate students in Computer Science." "3 units" "" ""+
CPSC329 CPSC329 "Explorations in Information Security and Privacy" "A broad survey of topics in information security and privacy, with the purpose of cultivating an appropriate mindset for approaching security and privacy issues. Topics will be motivated by recreational puzzles. Legal and ethical considerations will be introduced as necessary." "3 units" "" ""+
CPSC628 CPSC628 "" "" "3 units" "" ""+
MATH313 MATH313 "Linear Algebra II" "The theory of linear operators acting on finite dimensional vector spaces: invariant subspaces, diagonalization and triangulation; canonical forms; inner product spaces and orthogonalization; spectral theory; singular value decomposition and other applications." "3 units" "" ""+
CPSC577 CPSC577 "Biometric Technologies" "Principles of biometric system design, technology and performance evaluation. Verification, identification and synthesis in biometrics. Traditional and emerging techniques for fingerprint matching, face recognition, iris modelling, signature authentication, and biometric pattern recognition. Multi-modal biometrics and information fusion. Privacy and ethics considerations in deployment of biometric systems." "3 units" "" ""+
ENCM369 ENCM369 "Computer Organization" "Organization of a simple stored-program computer: CPU, busses and memory. Instruction sets, machine code, and assembly language. Conventions for assembly language generated by compilers. Floating-point number representation. Hardware organization. Address translation and virtual memory. Input/output devices, computer interfacing, interrupt handling and multi-tasking systems." "3 units" "" ""+
STAT217 STAT217 "" "" "3 units" "" ""+
CPSC567 CPSC567 "Foundations of Multi-Agent Systems" "Modelling of agents and properties of multi-agent systems. Communication issues, including interaction and co-ordination concepts, forming and maintaining organizations, and competitive agent environments. Example systems; the implementation of a multi-agent system will be performed as the assignment." "3 units" "" ""+
SENG697 SENG697 "" "" "3 units" "" ""+
CPSC698 CPSC698 "Information Security Project" "An information security project conducted under the guidance of a faculty member. A report must be written and presented on completion of the course." "6 units" "" ""+
CPSC313 CPSC313 "Introduction to Computability" "An introduction to abstract models of sequential computation, including finite automata, regular expressions, context-free grammars, and Turing machines. Formal languages, including regular, context-free, and recursive languages, methods for classifying languages according to these types, and relationships among these classes." "3 units" "" ""+
CPSC617 CPSC617 "Category Theory for Computer Science" "Introduction to category theory with applications in computer science. Functors, natural transformations, adjoints and monads, initial and final algebras. Introduction to 2-categories and fibrations." "3 units" "" ""+
PMAT317 PMAT317 "" "" "3 units" "" ""+
PMAT418 PMAT418 "" "" "3 units" "" ""+
CPSC691 CPSC691 "Rendering" "Physical foundations of illuminations techniques. Colour. Radiometry and photometry. Reflection models. The rendering equation. Ray tracing. Monte Carlo techniques. Sampling and antialiasing. Texturing. Radiosity. Photon tracing. Volume rendering. Image-based rendering. Real-time shading." "3 units" "" ""+
CPSC630 CPSC630 "Information Theory and Security  " "Information theoretic concepts such as entropy and mutual information, and their applications to defining and evaluating information security systems including encryption, authentication, secret sharing and secure message transmission." "3 units" "" ""+
CPSC522 CPSC522 "Introduction to Randomized Algorithms" "Techniques for the design and analysis of randomized algorithms; discrete probability theory; randomized data structures; lower bound techniques; randomized complexity classes; advanced algorithmic applications from various areas." "3 units" "" ""+
SENG301 SENG301 "" "" "3 units" "" ""+
MATH273 MATH273 "Numbers and Proofs" "A rigorous introduction to proof techniques and abstract mathematical reasoning with an emphasis on number systems: functions, sets and relations; the integers, prime numbers, divisibility and modular arithmetic; induction and recursion; real numbers; Cauchy sequences and completeness; complex numbers." "3 units" "" ""+
CPSC559 CPSC559 "Introduction to Distributed Systems" "Designing and implementing distributed systems that overcome challenges due to concurrent computation, failure of components in the system and heterogeneity of processors and communication channels. " "3 units" "" ""+
MATH211 MATH211 "Linear Methods I" "An introduction to systems of linear equations, vectors in Euclidean space and matrix algebra. Additional topics include linear transformations, determinants, complex numbers, eigenvalues, and applications. " "3 units" "" ""+
SENG403 SENG403 "" "" "3 units" "" ""+
CPSC503 CPSC503 "Project" "A research project conducted under the guidance of a faculty member. A report must be presented on completion of the course.503.01. Project in Computer Science503.02. Project in Theoretical Computer Science 503.03. Project in Computer Graphics 503.04. Project in Information Security 503.05. Project in Scientific Computation 503.06. Project in Software Engineering503.07. Project in Human Computer Interaction503.08. Project in Networks and Distributed Computing " "3 units" "" ""+
MATH315 MATH315 "Algebra I " "A broad overview of the elementary theory of groups, rings and fields. Group theory: cyclic, symmetric, alternating, dihedral and classical matrix groups, cosets and Lagrange’s theorem, group homomorphisms, normal subgroups, quotient groups and the isomorphism theorem. Rings and fields: the integers modulo n, polynomial rings, ring homomorphisms, ideals, quotient rings the isomorphism theorem, unique factorization domains, principal ideal domains, Euclidean domains and the construction of finite fields." "3 units" "" ""+
MATH213 MATH213 "Linear Algebra I" "A rigorous introduction to the theory of vector spaces, with an emphasis on proof writing and abstract reasoning. Topics include fields, subspaces, bases and dimension, linear transformations, determinants, eigenvalues and eigenvectors." "3 units" "" ""+
MATH271 MATH271 "Discrete Mathematics" "An introduction to proof techniques and abstract mathematical reasoning: sets, relations and functions; mathematical induction; integers, primes, divisibility and modular arithmetic; counting and combinatorics; elements of probability, discrete random variables and Bayes’ theorem." "3 units" "" ""+
CPSC513 CPSC513 "Computability" "Computable functions; decidable and undecidable problems; Church's thesis and recursive functions." "3 units" "" ""+
CPSC629 CPSC629 "Elliptic Curves and Cryptography" "An introduction to elliptic curves over the rationals and finite fields. The focus is on both theoretical and computational aspects; subjects covered will include the study of endomorphism rings, Weil pairing, torsion points, group structure, and effective implementation of point addition. Applications to cryptography will be discussed, including elliptic curve-based Diffie-Helman key exchange, El Gamal encryption, and digital signatures, as well as the associated computational problems on which their security is based." "3 units" "" ""+
SENG411 SENG411 "" "" "3 units" "" ""+
CPSC409 CPSC409 "History of Computation" "The history of computation from the earliest times to the modern era." "3 units" "" ""+
CPSC671 CPSC671 "Database Management Systems" "Foundations of database applications and database systems, plus some advanced topics in data management systems will be introduced." "3 units" "" ""+
CPSC481 CPSC481 "Human-Computer Interaction I" "Fundamental theory and practice of the design, implementation, and evaluation of human-computer interfaces. Topics include: principles of design; methods for evaluating interfaces with or without user involvement; techniques for prototyping and implementing graphical user interfaces." "3 units" "" ""+
CPSC511 CPSC511 "Introduction to Complexity Theory" "Time and space complexity; the classes P, LOGSPACE, PSPACE and their nondeterministic counterparts; containments and separations between complexity classes; intractability and the theory of NP-completeness; complexity theories for probabilistic algorithms and for parallel algorithms." "3 units" "" ""+
ENGG407 ENGG407 "" "" "3 units" "" ""+
AMAT311 AMAT311 "" "" "3 units" "" ""+
CPSC517 CPSC517 "Design and Analysis of Algorithms II" "Advanced techniques for the design and analysis of deterministic and probabilistic algorithms; techniques for deriving lower bounds on the complexity of problems." "3 units" "" ""+
ENCM415 ENCM415 "" "" "3 units" "" ""+
MATH318 MATH318 "" "" "3 units" "" ""+
CPSC587 CPSC587 "Fundamentals of Computer Animation" "Principles of traditional animation, key framing, parametric and track animation, free form deformation, inverse kinematics, dynamics, spring mass systems, particle systems, numerical integration, Lagrangian constraints, space time constraints, collisions, human animation, behavioural animation, metamorphosis, implicit animation techniques, animating liquids, gases and cloth, motion capture." "3 units" "" ""+
